"last_name, first_name","player_id","name_abbrev","team_id","position_name","age","bat_side","seconds_since_hit_000","seconds_since_hit_005","seconds_since_hit_010","seconds_since_hit_015","seconds_since_hit_020","seconds_since_hit_025","seconds_since_hit_030","seconds_since_hit_035","seconds_since_hit_040","seconds_since_hit_045","seconds_since_hit_050","seconds_since_hit_055","seconds_since_hit_060","seconds_since_hit_065","seconds_since_hit_070","seconds_since_hit_075","seconds_since_hit_080","seconds_since_hit_085","seconds_since_hit_090"
"Abrams, CJ","682928","WSH","120","SS","24","L","0.00","0.53","0.83","1.08","1.31","1.52","1.72","1.92","2.11","2.29","2.47","2.65","2.82","2.99","3.16","3.33","3.51","3.68","3.87"
"Abreu, Wilyer","677800","BOS","111","RF","26","L","0.00","0.55","0.86","1.12","1.35","1.57","1.77","1.97","2.16","2.34","2.53","2.70","2.88","3.05","3.23","3.40","3.57","3.75","3.94"
"Acosta, Maximo","691185","MIA","146","3B","22","R","0.00","0.57","0.89","1.16","1.40","1.62","1.83","2.03","2.23","2.41","2.60","2.78","2.95","3.13","3.30","3.47","3.64","3.81","3.99"
"Acuña Jr., Ronald","660670","ATL","144","RF","27","R","0.00","0.56","0.87","1.13","1.36","1.58","1.78","1.98","2.17","2.35","2.54","2.72","2.89","3.07","3.24","3.41","3.58","3.75","3.93"
"Acuña, Luisangel","682668","NYM","121","2B","23","R","0.00","0.54","0.84","1.09","1.32","1.53","1.73","1.92","2.10","2.28","2.46","2.63","2.80","2.97","3.13","3.30","3.46","3.63","3.81"
"Adames, Willy","642715","SF","137","SS","29","R","0.00","0.56","0.87","1.14","1.38","1.61","1.82","2.02","2.21","2.40","2.59","2.77","2.95","3.13","3.31","3.48","3.66","3.83","4.01"
"Adams, Riley","656180","WSH","120","C","29","R","0.00","0.56","0.88","1.16","1.40","1.63","1.84","2.05","2.25","2.44","2.64","2.82","3.01","3.20","3.38","3.57","3.75","3.93","4.13"
"Adell, Jo","666176","LAA","108","CF","26","R","0.00","0.55","0.86","1.12","1.35","1.57","1.78","1.98","2.17","2.36","2.54","2.72","2.90","3.08","3.25","3.42","3.59","3.77","3.95"
"Albies, Ozzie","645277","ATL","144","2B","28","L","0.00","0.55","0.85","1.11","1.34","1.55","1.76","1.96","2.15","2.34","2.52","2.70","2.88","3.06","3.24","3.41","3.59","3.78","3.97"
"Albies, Ozzie","645277","ATL","144","2B","28","R","0.00","0.56","0.89","1.15","1.39","1.60","1.81","2.01","2.20","2.39","2.57","2.75","2.93","3.11","3.28","3.45","3.63","3.81","3.99"
