"last_name, first_name","player_id","team_id","team","position","age","competitive_runs","bolts","hp_to_1b","sprint_speed"
"Turner, Trea",607208,143,"PHI","SS",32,"260","116","4.22","30.3"
"Scott II, Victor",687363,138,"STL","CF",24,"141","87","4.13","30.2"
"Witt Jr., Bobby",677951,118,"KC","SS",25,"245","101","4.15","30.2"
"Buxton, Byron",621439,142,"MIN","CF",31,"165","56","4.13","30.2"
"Hill, Derek",656537,145,"CWS","CF",29,"50","24","4.21","30.1"
"Rojas, Johan",679032,143,"PHI","CF",24,"64","30","4.18","30.1"
"Lockridge, Brandon",663604,158,"MIL","CF",28,"68","30","4.18","30.0"
"White, Eli",642201,144,"ATL","RF",31,"106","35","4.22","29.9"
"McCarthy, Jake",664983,109,"AZ","LF",27,"100","30","4.18","29.9"
"Teodosio, Bryce",669326,108,"LAA","CF",26,"58","23","4.18","29.9"
"Carroll, Corbin",682998,109,"AZ","RF",24,"214","63","4.13","29.8"
"Nuñez, Nasim",683083,120,"WSH","SS",24,"34","10","4.12","29.8"
"Hinds, Rece",677956,113,"CIN","RF",24,"14","4","4.33","29.8"
"Eaton, Nate",681987,111,"BOS","RF",28,"50","20","4.12","29.7"
"Lawlar, Jordan",691783,109,"AZ","3B",22,"26","10","4.27","29.7"
"Dunn, Blake",694362,113,"CIN","RF",26,"26","9","4.26","29.7"
"Acuña, Luisangel",682668,121,"NYM","2B",23,"94","24","4.22","29.6"
"Simpson, Chandler",802415,139,"TB","CF",24,"254","89","3.97","29.6"
"Fitzgerald, Tyler",666149,137,"SF","2B",27,"74","21","4.31","29.6"
"Peña, Jeremy",665161,117,"HOU","SS",27,"227","64","4.28","29.6"
"Clarke, Denzel",672016,133,"ATH","CF",25,"57","16","4.23","29.5"
"Crow-Armstrong, Pete",691718,112,"CHC","CF",23,"193","51","4.21","29.5"
"Doyle, Brenton",686668,115,"COL","CF",27,"205","42","4.32","29.5"
"DeLuca, Jonny",676356,139,"TB","CF",26,"21","5","4.27","29.5"
"Helman, Michael",680737,140,"TEX","CF",29,"43","10","4.26","29.4"
"Sosa, Edmundo",624641,143,"PHI","2B",29,"102","32","4.32","29.4"
"Straw, Myles",664702,141,"TOR","CF",30,"111","29","4.12","29.4"
"Kemp, Otto",805249,143,"PHI","3B",25,"68","5","4.35","29.4"
"Clase, Jonatan",682729,141,"TOR","LF",23,"29","6","4.19","29.4"
"Lugo, Matthew",683090,108,"LAA","CF",24,"25","4","4.46","29.4"
"Smith, Cam",701358,117,"HOU","RF",22,"188","25","4.36","29.3"
"Jankowski, Travis",608671,121,"NYM","RF",34,"21","8",,"29.3"
"Hamilton, David",666152,111,"BOS","2B",27,"56","19","4.02","29.3"
"Mateo, Jorge",622761,110,"BAL","CF",30,"34","11","4.16","29.3"
"Young, Jacob",696285,120,"WSH","CF",25,"153","36","4.25","29.3"
"Thomas, Lane",657041,114,"CLE","CF",29,"31","4","4.37","29.3"
"Benson, Will",666181,113,"CIN","RF",27,"73","13","4.35","29.3"
"Johnson, Daniel",669288,110,"BAL","CF",29,"22","4","4.20","29.2"
"Taylor, Tyrone",621438,121,"NYM","CF",31,"114","11","4.38","29.3"
